data,pressao_atm,temp_med_dia,umid_relativa,veloc_vento,prec_total,dose,temp_max_dia,temp_min_dia,dia_juliano,dia_semana,data_unix,est_inverno,est_outono,est_primavera,est_verao,dir_vento_E,dir_vento_N,dir_vento_NE,dir_vento_NW,dir_vento_S,dir_vento_SE,dir_vento_SW,dir_vento_W,freq_intern,idade_med,dias_intern_med,idade_mod,dias_intern_mod,freq_intern_1d,freq_intern_2d,freq_intern_3d,freq_intern_4d,freq_intern_5d
2020-06-13,1009.2583333333333,18.5125,73.54166666666667,1.6375,41.4,8.417556000000001,23.1,13.0,165,5,1592006400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11,45.0,5.0,6.0,2,17.0,25.0,19.0,23.0,21.0
2020-06-14,1022.6916666666666,10.204166666666667,64.125,1.1708333333333334,0.0,12.54421,14.9,4.8,166,6,1592092800,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17,66.0,7.0,5.0,1,25.0,19.0,23.0,21.0,27.0
2020-06-15,1020.625,12.15,79.25,1.075,0.0,10.364016,18.9,7.7,167,0,1592179200,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,57.0,3.0,66.0,0,19.0,23.0,21.0,27.0,27.0
2020-06-16,1017.0291666666667,17.220833333333335,80.0,0.8333333333333334,0.0,11.533581,26.5,10.9,168,1,1592265600,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19,65.0,2.0,65.0,2,23.0,21.0,27.0,27.0,21.0
2020-06-17,1013.1541666666667,19.595833333333335,78.375,0.8250000000000001,0.0,11.678323999999998,27.7,14.2,169,2,1592352000,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23,54.0,6.0,1.0,5,21.0,27.0,27.0,21.0,22.0
2020-06-18,1005.275,22.175,66.20833333333333,1.9791666666666667,0.0,4.233982,26.8,17.6,170,3,1592438400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21,57.0,5.0,63.0,5,27.0,27.0,21.0,22.0,24.0
2020-06-19,1007.8916666666668,18.925,80.08333333333333,1.2333333333333334,0.0,7.164407000000001,23.5,16.0,171,4,1592524800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,48.0,5.0,9.0,5,27.0,21.0,22.0,24.0,24.0
2020-06-20,1007.4499999999999,22.3625,77.25,0.875,0.0,9.224414000000001,29.1,18.7,172,5,1592611200,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27,52.0,5.0,0.25,3,21.0,22.0,24.0,24.0,22.0
2020-06-21,1006.3083333333334,24.2625,63.333333333333336,1.7625,0.0,11.130109000000001,30.9,19.4,173,6,1592697600,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21,68.0,5.0,75.0,5,22.0,24.0,24.0,22.0,14.0
2020-06-22,1011.6458333333334,19.345833333333335,81.16666666666667,1.3666666666666665,0.0,7.051328,27.2,16.5,174,0,1592784000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,63.5,4.0,71.0,2,24.0,24.0,22.0,14.0,17.0
